image_id,image_url,image_url_small,amount, prominence,test_data,nrflowers_lower,nrflowers_upper,nrtypes_lower,nrtypes_upper
RP-P-OB-73.346,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-73.346,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-73.346&aria/maxwidth_590, multiple,FALSE,FALSE,12,20,1,2
RP-P-OB-65.154,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-65.154,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-65.154&aria/maxwidth_590, multiple,FALSE,FALSE,15,30,2,6
RP-P-1887-A-11844,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1887-A-11844,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1887-A-11844&aria/maxwidth_590, multiple,FALSE,FALSE,11,19,5,11
RP-P-1906-1284,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1906-1284,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1906-1284&aria/maxwidth_590, single ,FALSE,TRUE,2,2,1,1
RP-P-1906-2945,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1906-2945,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1906-2945&aria/maxwidth_590, single,FALSE,FALSE,2,4,1,1
RP-P-1907-39,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1907-39,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1907-39&aria/maxwidth_590, single,FALSE,TRUE,5,5,1,1
RP-P-1907-4586,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1907-4586,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1907-4586&aria/maxwidth_590, multiple,FALSE,FALSE,2,2,1,1
RP-P-1908-1222,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1908-1222,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1908-1222&aria/maxwidth_590, single,FALSE,FALSE,3,3,1,1
RP-P-1908-320,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1908-320,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1908-320&aria/maxwidth_590, single,FALSE,FALSE,4,4,1,1
RP-P-OB-48.099,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-48.099,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-48.099&aria/maxwidth_590, multiple,FALSE,FALSE,5,8,2,3
RP-P-BI-2741,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-BI-2741,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-BI-2741&aria/maxwidth_590, multiple,FALSE,FALSE,11,16,3,4
RP-P-1883-A-7286,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1883-A-7286,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1883-A-7286&aria/maxwidth_590, multiple,FALSE,FALSE,100,150,5,10
RP-P-1908-3749,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1908-3749,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1908-3749&aria/maxwidth_590, multiple,FALSE,FALSE,6,9,3,6
RP-P-OB-6881,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-6881,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-6881&aria/maxwidth_590, multiple,TRUE,FALSE,40,60,11,16
RP-P-OB-47.657,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-47.657,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-47.657&aria/maxwidth_590, multiple,FALSE,FALSE,25,50,4,4
RP-P-OB-67.124,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-67.124,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-67.124&aria/maxwidth_590, multiple,FALSE,FALSE,7,10,1,2
RP-P-OB-16.068,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-16.068,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-16.068&aria/maxwidth_590, multiple,FALSE,FALSE,50,70,3,4
RP-P-1890-A-15384,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1890-A-15384,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1890-A-15384&aria/maxwidth_590, multiple,FALSE,FALSE,50,70,1,8
RP-P-1935-1418,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1935-1418,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1935-1418&aria/maxwidth_590, multiple,FALSE,FALSE,3,4,1,2
RP-P-1926-629,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1926-629,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1926-629&aria/maxwidth_590, multiple,FALSE,TRUE,3,3,1,1
RP-P-OB-7457,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-7457,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-7457&aria/maxwidth_590, multiple,FALSE,FALSE,50,70,2,9
RP-P-1935-1040,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1935-1040,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1935-1040&aria/maxwidth_590, single,FALSE,TRUE,3,5,1,1
RP-P-OB-44.737,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-44.737,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-44.737&aria/maxwidth_590, multiple,FALSE,FALSE,3,5,1,1
RP-P-1937-702,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1937-702,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1937-702&aria/maxwidth_590, single,FALSE,TRUE,1,1,1,1
RP-P-1937-726,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1937-726,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1937-726&aria/maxwidth_590, multiple,FALSE,TRUE,3,3,1,1
RP-P-OB-4956,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-4956,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-4956&aria/maxwidth_590, multiple,FALSE,FALSE,3,5,1,1
RP-P-2003-216,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-2003-216,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-2003-216&aria/maxwidth_590, multiple,FALSE,FALSE,4,4,1,1
RP-P-BI-4288,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-BI-4288,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-BI-4288&aria/maxwidth_590, multiple,FALSE,FALSE,6,8,0,2
RP-P-1936-793,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1936-793,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1936-793&aria/maxwidth_590, multiple,FALSE,FALSE,12,15,3,4
RP-P-OB-23.488,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-23.488,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-23.488&aria/maxwidth_590, multiple,FALSE,TRUE,21,21,1,1
RP-P-OB-48.926,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-48.926,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-48.926&aria/maxwidth_590, multiple,FALSE,FALSE,8,9,2,3
RP-P-OB-2376,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-2376,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-2376&aria/maxwidth_590, single,FALSE,TRUE,1,1,1,1
RP-P-OB-24.151,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-24.151,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-24.151&aria/maxwidth_590, single,FALSE,TRUE,1,1,1,1
RP-P-OB-24.573,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-24.573,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-24.573&aria/maxwidth_590, multiple,FALSE,TRUE,15,15,1,1
RP-P-OB-32.106,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-32.106,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-32.106&aria/maxwidth_590, single,FALSE,TRUE,1,1,1,1
RP-P-1906-3091,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1906-3091,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1906-3091&aria/maxwidth_590, single,FALSE,FALSE,3,4,1,1
RP-P-OB-4920,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-4920,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-4920&aria/maxwidth_590, multiple,FALSE,FALSE,8,8,1,1
RP-P-1935-1194,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1935-1194,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1935-1194&aria/maxwidth_590, multiple,FALSE,FALSE,15,18,5,5
RP-P-1885-A-8964,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1885-A-8964,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1885-A-8964&aria/maxwidth_590, multiple,FALSE,FALSE,8,9,2,5
RP-P-1984-220,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1984-220,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1984-220&aria/maxwidth_590, multiple,FALSE,FALSE,14,15,2,4
RP-P-OB-4967,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-4967,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-4967&aria/maxwidth_590, multiple,FALSE,TRUE,4,4,1,1
RP-P-1878-A-1879,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1879,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1879&aria/maxwidth_590, multiple,FALSE,FALSE,26,27,6,8
RP-P-OB-5121,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-5121,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-5121&aria/maxwidth_590, multiple,FALSE,FALSE,6,6,1,1
RP-P-1895-A-18745,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1895-A-18745,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1895-A-18745&aria/maxwidth_590, multiple,FALSE,FALSE,10,10,3,4
RP-P-1991-597,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1991-597,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1991-597&aria/maxwidth_590, multiple,FALSE,TRUE,11,11,2,3
RP-P-1948-55,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1948-55,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1948-55&aria/maxwidth_590, multiple,FALSE,TRUE,6,7,1,1
RP-P-OB-22.757,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-22.757,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-22.757&aria/maxwidth_590, multiple,FALSE,TRUE,6,6,2,3
RP-P-OB-55.724,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-55.724,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-55.724&aria/maxwidth_590, multiple,FALSE,FALSE,4,4,1,1
RP-P-OB-5124,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-5124,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-5124&aria/maxwidth_590, single,FALSE,FALSE,13,13,2,3
RP-P-OB-52.147,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-52.147,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-52.147&aria/maxwidth_590, single,FALSE,TRUE,3,3,1,2
RP-P-1913-2319,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1913-2319,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1913-2319&aria/maxwidth_590, multiple,TRUE,FALSE,3,6,1,2
RP-P-OB-6885,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-6885,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-6885&aria/maxwidth_590, multiple,TRUE,FALSE,8,9,5,6
RP-P-1911-4225,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1911-4225,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1911-4225&aria/maxwidth_590, multiple,FALSE,TRUE,24,25,1,1
RP-P-OB-6882,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-6882,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-6882&aria/maxwidth_590, multiple,TRUE,FALSE,12,13,3,5
RP-P-OB-6880,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-6880,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-6880&aria/maxwidth_590, multiple,TRUE,FALSE,23,24,6,8
RP-P-OB-6876,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-6876,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-6876&aria/maxwidth_590, multiple,TRUE,FALSE,11,11,4,5
