;category_flower;category_types;prominence;nrflowers_upper;nrtypes_upper;crowd_nrflowers_mean;crowd_nrtypes_mean;nrmajority_labels;IN RANGE;DIFF_#F;DIFF_#TY;DIFF_MAJ#TY; LESS -1; -1 < X < 0; = 0; = 0 > X <= 2; = >2
68;medium;medium;FALSE;27;8;10,33333333;5,777777778;2;1;16,66666667;2,222222222;25;0;0;0;0;1
69;easy;easy;FALSE;6;1;4;1;1;1;2;0;5;0;0;0;1;0
70;easy;medium;FALSE;10;4;7;2,375;1;1;3;1,625;9;0;0;0;0;1
71;easy;medium;FALSE;11;3;9,875;2,625;0;1;1,125;0,375;11;0;0;0;1;0
72;medium;easy;FALSE;7;1;6,5;1;1;1;0,5;0;6;0;0;0;1;0
73;easy;medium;FALSE;6;3;5,5;2;2;1;0,5;1;4;0;0;0;1;0
74;easy;easy;FALSE;4;1;3,5;1;1;1;0,5;0;3;0;0;0;1;0
75;easy;medium;FALSE;13;3;13;1;1;0;0;2;12;0;0;1;0;0
76;easy;medium;FALSE;3;2;2,571428571;1,428571429;0;1;0,428571429;0,571428571;3;0;0;0;1;0
77;hard;medium;TRUE;6;2;7,666666667;1,666666667;0;0;-1,666666667;0,333333333;6;1;0;0;0;0
78;medium;medium;TRUE;9;6;9,125;5,625;2;0;-0,125;0,375;7;0;1;0;0;0
79;medium;easy;FALSE;25;1;24,625;1,25;1;1;0,375;-0,25;24;0;0;0;1;0
80;medium;medium;TRUE;13;5;7,428571429;3,714285714;0;1;5,571428571;1,285714286;13;0;0;0;0;1
81;medium;medium;TRUE;24;8;16,5;5,166666667;0;1;7,5;2,833333333;24;0;0;0;0;1
82;easy;medium;TRUE;11;5;8,166666667;3,833333333;1;1;2,833333333;1,166666667;10;0;0;0;0;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;58;6,783420441;0,927947154;;5;4;11;29;33
;;;;;;;;;;1,285714286;;;;;;;
